id,carat,cut,color,clarity,depth,table,price,x,y,z
52670,0.7,Premium,D,SI1,62.6,58.0,2550,5.67,5.6,3.53
8479,1.01,Very Good,F,SI2,62.7,59.0,4416,6.35,6.4,4.0
32540,0.27,Ideal,E,VVS2,61.8,57.0,799,4.16,4.12,2.56
34912,0.34,Ideal,F,VS2,61.0,57.0,880,4.5,4.48,2.74
19787,1.13,Very Good,E,VS2,61.9,61.0,8358,6.61,6.64,4.1
35946,0.3,Ideal,F,SI1,62.3,54.0,475,4.3,4.34,2.69
44639,0.54,Ideal,E,VS2,61.7,55.0,1609,5.23,5.2,3.22
40349,0.43,Ideal,G,VVS2,60.9,57.0,1129,4.9,4.85,2.97
38516,0.37,Ideal,G,IF,62.4,56.0,1033,4.6,4.64,2.88
5590,1.17,Good,D,SI2,57.4,59.0,3866,7.02,6.95,4.01
26540,2.09,Very Good,F,SI2,62.5,60.0,16210,8.14,8.06,5.06
29191,0.4,Ideal,F,SI1,62.0,54.0,694,4.76,4.79,2.96
2900,0.8,Very Good,F,VS2,63.3,59.8,3283,5.79,5.83,3.68
10441,1.01,Ideal,E,SI2,61.1,59.0,4787,6.53,6.47,3.97
51423,0.85,Good,J,VS1,63.6,57.0,2372,6.01,5.94,3.8
3765,0.9,Very Good,F,SI2,63.1,56.0,3457,6.18,6.12,3.88
807,0.71,Premium,D,SI1,61.0,61.0,2863,5.82,5.75,3.53
42508,0.5,Ideal,I,VVS2,61.8,57.0,1322,5.09,5.11,3.15
30062,0.31,Ideal,E,VS2,62.5,54.0,720,4.33,4.37,2.72
41987,0.43,Premium,G,VVS1,60.3,58.0,1264,4.91,4.87,2.95
26322,2.03,Very Good,I,VS2,61.4,59.0,15826,8.06,8.12,4.97
47757,0.73,Fair,I,SI2,61.3,67.0,1892,5.77,5.64,3.51
17609,1.02,Ideal,F,VS1,60.7,56.0,7091,6.53,6.61,3.99
41491,0.5,Good,E,SI1,64.6,54.0,1232,4.95,5.05,3.23
18085,1.2,Very Good,E,SI1,62.7,57.0,7310,6.7,6.79,4.23
41622,0.34,Ideal,J,VVS1,62.1,54.2,504,4.48,4.51,2.79
36149,0.33,Premium,E,VS2,61.5,59.0,928,4.46,4.42,2.73
15904,1.29,Premium,J,VVS2,62.6,59.0,6356,6.98,6.91,4.35
11947,1.01,Good,E,SI1,63.4,60.0,5132,6.3,6.34,4.01
43679,0.5,Good,F,VS2,63.3,57.0,1436,5.01,5.07,3.19
7556,1.15,Premium,E,SI2,62.5,58.0,4250,6.65,6.72,4.18
49795,0.7,Ideal,I,VS1,62.7,57.0,2163,5.63,5.67,3.54
18152,1.4,Premium,G,SI2,62.0,60.0,7357,7.16,7.1,4.42
25499,1.51,Premium,F,VS2,61.1,59.0,14294,7.37,7.32,4.49
25477,1.51,Ideal,F,VS2,62.4,56.0,14247,7.38,7.31,4.58
39547,0.32,Ideal,G,VVS1,61.1,53.0,1080,4.44,4.4,2.7
38313,0.44,Premium,F,VS2,61.1,62.0,1018,4.98,4.92,3.03
5896,0.9,Premium,G,SI1,61.0,59.0,3931,6.29,6.17,3.8
42467,0.52,Ideal,I,VVS2,62.2,57.0,1316,5.18,5.11,3.2
13225,1.01,Very Good,E,SI1,62.1,56.0,5461,6.43,6.48,4.01
43955,0.31,Good,F,SI1,63.1,57.0,516,4.28,4.31,2.71
19450,1.04,Premium,G,VVS2,61.8,58.0,8098,6.51,6.47,4.01
14163,1.2,Premium,H,SI1,62.1,55.0,5746,6.79,6.74,4.2
51097,0.7,Good,H,SI1,63.7,59.0,2335,5.59,5.53,3.54
33193,0.3,Very Good,H,VVS1,63.1,54.0,819,4.34,4.28,2.72
41022,0.5,Very Good,G,SI1,63.3,59.0,1187,4.99,5.02,3.17
9637,1.09,Premium,H,SI2,62.5,58.0,4639,6.61,6.55,4.11
21559,1.23,Ideal,F,VS1,62.5,54.0,9660,6.82,6.85,4.27
5877,1.03,Ideal,I,SI2,62.2,57.0,3925,6.46,6.5,4.03
33382,0.41,Good,J,IF,63.6,54.0,827,4.72,4.75,3.01
19007,1.21,Ideal,F,VS2,62.6,55.0,7826,6.8,6.75,4.24
27741,2.15,Ideal,G,SI2,62.6,54.0,18791,8.29,8.35,5.21
36314,0.32,Ideal,G,VVS2,61.1,55.0,936,4.45,4.42,2.71
16896,1.13,Premium,G,VS2,62.5,58.0,6743,6.69,6.59,4.15
53140,0.71,Ideal,H,VS2,62.2,56.0,2622,5.68,5.74,3.55
31478,0.34,Ideal,H,VS1,62.7,57.0,765,4.48,4.45,2.8
48631,0.34,Premium,J,VS2,62.3,60.0,536,4.49,4.46,2.79
39089,0.31,Ideal,F,IF,61.5,55.0,1061,4.34,4.37,2.68
49841,0.71,Premium,H,VS2,61.3,58.0,2169,5.76,5.82,3.55
43223,0.4,Premium,G,IF,60.8,58.0,1397,4.77,4.73,2.89
50852,0.7,Very Good,F,SI1,61.4,59.0,2312,5.67,5.7,3.49
29426,0.38,Very Good,E,SI1,61.2,59.0,700,4.64,4.67,2.85
1040,0.8,Ideal,I,VS1,62.2,58.0,2906,5.92,5.95,3.69
15931,1.01,Premium,G,VVS2,61.9,58.0,6371,6.48,6.38,3.98
17015,1.2,Good,G,VS2,65.2,56.0,6793,6.61,6.67,4.33
45633,0.25,Very Good,G,VVS1,61.7,56.0,525,4.07,4.09,2.51
52561,0.7,Ideal,G,VS2,62.1,57.0,2536,5.66,5.7,3.53
28699,0.43,Very Good,F,SI2,60.5,59.0,679,4.88,4.91,2.96
30595,0.31,Ideal,D,VS2,62.5,57.0,734,4.31,4.36,2.71
3003,0.71,Ideal,E,VS2,62.1,55.0,3304,5.72,5.75,3.56
3925,0.74,Ideal,E,SI1,60.8,56.0,3497,5.85,5.89,3.57
19393,1.53,Premium,J,VS1,60.1,59.0,8058,7.47,7.51,4.5
6994,1.06,Premium,F,SI1,61.9,59.0,4155,6.57,6.52,4.05
16463,1.11,Premium,D,VS2,59.5,60.0,6579,6.77,6.7,4.01
48421,0.61,Good,F,VS2,63.0,64.2,1971,5.29,5.32,3.34
8930,1.1,Good,I,SI1,63.7,59.0,4497,6.56,6.5,4.16
11375,0.34,Ideal,E,SI1,62.1,55.0,596,4.47,4.51,2.79
6192,0.9,Very Good,D,SI1,61.1,63.0,3997,6.21,6.17,3.78
19483,1.04,Ideal,G,VVS1,62.5,55.0,8120,6.45,6.54,4.06
24422,1.73,Premium,I,VS1,62.2,59.0,12674,7.65,7.62,4.75
28899,0.3,Ideal,G,VVS2,61.5,57.0,684,4.29,4.33,2.65
14671,1.21,Premium,E,SI2,61.7,59.0,5920,6.83,6.78,4.2
20504,1.51,Very Good,I,VS2,62.3,60.0,8836,7.29,7.35,4.56
50992,0.31,Very Good,E,SI1,62.3,56.0,544,4.37,4.4,2.73
34428,0.3,Ideal,G,IF,62.2,55.0,863,4.31,4.34,2.69
29639,0.27,Very Good,J,VVS2,60.8,57.0,443,4.16,4.2,2.54
25903,1.83,Ideal,H,SI1,61.5,56.0,15032,7.87,7.81,4.82
53202,0.71,Ideal,D,SI2,61.3,57.0,2633,5.78,5.71,3.52
16140,1.0,Premium,G,VS2,60.6,59.0,6451,6.42,6.36,3.87
9309,1.01,Very Good,E,SI2,62.2,58.0,4575,6.36,6.43,3.98
16730,0.23,Very Good,D,VS1,61.5,58.0,611,3.93,3.98,2.43
7748,0.61,Ideal,D,VVS1,62.1,56.0,4279,5.46,5.43,3.38
46360,0.63,Fair,H,VS1,57.3,62.5,1760,5.65,5.7,3.25
10349,0.9,Good,E,VS2,63.7,54.0,4770,6.13,6.15,3.91
36380,0.44,Very Good,H,SI1,63.5,57.0,941,4.85,4.82,3.07
19540,1.42,Ideal,I,VS2,60.4,55.0,8173,7.28,7.38,4.43
48666,0.71,Ideal,J,SI1,60.7,61.0,2001,5.72,5.77,3.49
52139,0.76,Ideal,F,SI2,61.1,55.0,2469,5.9,5.94,3.62
48233,0.57,Premium,D,SI1,63.0,59.0,1949,5.27,5.23,3.31
31644,0.27,Ideal,H,VS2,61.7,56.0,451,4.13,4.17,2.56
1969,0.58,Ideal,F,VVS1,61.7,55.0,3090,5.36,5.39,3.31
53573,0.7,Ideal,E,VS2,62.8,57.0,2697,5.71,5.62,3.56
41585,0.3,Very Good,H,SI1,62.4,58.0,389,4.23,4.29,2.66
13525,1.0,Premium,E,SI1,61.9,60.0,5544,6.46,6.37,3.97
6281,1.01,Very Good,F,SI2,60.8,63.0,4017,6.38,6.32,3.86
35063,0.3,Ideal,D,VS1,60.8,56.0,885,4.37,4.39,2.66
23158,1.3,Ideal,G,VVS2,62.0,57.0,11175,7.03,6.96,4.34
10642,0.93,Premium,G,VS2,62.2,59.0,4834,6.21,6.26,3.88
51492,0.71,Premium,F,SI1,62.7,58.0,2381,5.74,5.68,3.58
53122,0.74,Fair,E,SI2,66.7,62.0,2617,5.49,5.43,3.64
29359,0.31,Ideal,G,VS2,62.7,57.0,698,4.34,4.31,2.71
35009,0.4,Good,F,SI1,63.6,56.0,882,4.68,4.63,2.96
37264,0.29,Very Good,E,VS1,61.4,61.0,481,4.22,4.25,2.6
53402,0.71,Ideal,F,SI2,61.8,57.0,2667,5.69,5.72,3.53
15853,1.02,Ideal,E,SI1,62.6,57.0,6342,6.41,6.44,4.02
3767,1.5,Premium,H,I1,60.1,57.0,3457,7.4,7.28,4.42
27808,0.3,Ideal,H,VVS1,61.5,55.0,650,4.31,4.35,2.66
25046,0.3,Ideal,F,SI1,62.9,57.0,641,4.27,4.25,2.68
42897,0.56,Very Good,G,SI1,61.8,55.0,1361,5.28,5.33,3.28
25050,1.63,Very Good,E,VS2,61.8,58.0,13555,7.49,7.57,4.65
15094,1.01,Good,D,VS2,64.2,60.0,6066,6.32,6.35,4.07
52228,0.8,Premium,G,SI2,59.7,62.0,2484,6.02,5.98,3.58
35504,0.41,Premium,E,SI1,61.1,62.0,904,4.83,4.76,2.93
24264,1.51,Good,E,SI1,63.6,56.0,12490,7.34,7.23,4.63
31549,0.3,Ideal,E,VVS2,62.3,56.0,766,4.3,4.34,2.69
34959,0.32,Premium,H,VS2,62.7,58.0,471,4.33,4.35,2.72
6860,1.07,Premium,I,SI1,61.2,58.0,4126,6.62,6.55,4.03
15462,1.18,Ideal,I,VS2,62.3,55.6,6191,6.73,6.76,4.21
33749,0.31,Ideal,F,VVS1,62.0,54.0,840,4.37,4.41,2.72
490,0.72,Premium,E,VS2,62.4,59.0,2822,5.77,5.7,3.58
39354,0.44,Premium,E,VS2,60.4,59.0,1073,4.93,4.9,2.97
53329,0.71,Ideal,E,SI1,61.5,57.0,2654,5.7,5.75,3.52
40929,0.3,Ideal,E,SI1,62.3,56.0,499,4.29,4.32,2.68
26659,2.46,Ideal,J,SI2,62.3,57.0,16466,8.66,8.57,5.37
46341,0.5,Very Good,D,VS2,63.4,56.0,1758,5.1,5.05,3.22
13647,1.22,Ideal,J,SI1,60.6,56.0,5586,6.96,6.95,4.22
36416,0.31,Premium,D,VS2,62.0,59.0,942,4.36,4.32,2.69
26954,2.01,Very Good,E,SI2,62.0,61.0,17024,8.04,8.1,5.0
21210,1.0,Ideal,F,VVS2,61.9,57.0,9354,6.47,6.42,3.99
6321,1.11,Very Good,H,SI2,63.4,55.0,4028,6.54,6.51,4.14
6906,1.01,Good,G,SI2,63.7,59.0,4135,6.38,6.31,4.04
27010,2.14,Premium,D,SI2,59.8,59.0,17127,8.4,8.36,5.01
31259,0.32,Ideal,E,VS1,61.7,57.0,758,4.39,4.42,2.72
9107,0.85,Premium,F,VVS2,61.2,60.0,4530,6.1,6.13,3.74
33133,0.31,Ideal,G,VVS1,61.9,55.0,816,4.3,4.36,2.68
17442,1.56,Very Good,J,SI2,58.3,63.0,6996,7.64,7.7,4.47
23460,1.72,Premium,H,VS2,59.5,60.0,11455,7.79,7.75,4.62
26284,2.01,Premium,H,SI2,62.3,58.0,15773,8.06,8.11,5.04
19952,1.53,Ideal,H,SI2,61.9,57.0,8499,7.42,7.34,4.57
15647,1.0,Premium,E,VS2,59.9,59.0,6272,6.45,6.38,3.84
2123,0.76,Good,G,VS1,60.3,60.7,3121,5.86,5.9,3.55
32376,0.43,Ideal,G,SI1,61.5,57.0,790,4.84,4.87,2.98
10035,0.24,Premium,E,VS2,62.6,58.0,417,3.99,4.03,2.51
47943,0.59,Ideal,G,VS1,62.1,55.0,1916,5.35,5.4,3.34
50703,0.53,Ideal,F,VVS2,61.3,56.0,2291,5.21,5.24,3.2
21516,1.12,Premium,G,IF,61.2,58.0,9612,6.7,6.67,4.09
3287,0.91,Good,F,SI1,64.0,57.0,3363,6.17,6.08,3.92
19407,1.25,Premium,G,VS2,61.9,58.0,8064,6.91,6.85,4.26
39698,0.4,Ideal,H,VVS1,62.3,54.0,1088,4.77,4.74,2.96
14834,1.25,Very Good,I,VS2,62.7,58.0,5975,6.74,6.95,4.29
5882,1.02,Ideal,H,SI2,61.6,56.0,3927,6.47,6.51,4.0
5782,0.9,Very Good,E,SI2,61.1,58.0,3902,6.12,6.26,3.78
6268,1.04,Very Good,F,SI2,63.2,58.0,4013,6.39,6.34,4.02
37065,0.43,Premium,F,VS2,61.3,59.0,968,4.84,4.81,2.96
6107,1.0,Good,F,SI2,63.7,57.0,3977,6.36,6.32,4.04
50227,0.54,Ideal,F,VVS2,61.6,56.0,2231,5.23,5.26,3.23
27427,2.11,Premium,E,SI2,62.4,61.0,18034,8.19,8.1,5.08
25210,1.51,Ideal,G,VS1,62.8,56.0,13811,7.29,7.24,4.56
23146,1.02,Premium,E,VVS1,61.5,59.0,11163,6.46,6.41,3.96
2470,0.71,Very Good,E,VS1,61.5,57.0,3192,5.74,5.77,3.54
20570,1.21,Premium,F,VS1,62.5,60.0,8879,6.77,6.7,4.21
49384,0.75,Fair,F,SI2,65.1,57.0,2102,5.7,5.66,3.7
34090,0.41,Premium,E,SI1,58.8,62.0,852,4.87,4.85,2.86
40062,0.43,Premium,H,VS1,62.3,58.0,1113,4.81,4.75,2.98
41703,0.53,Good,H,SI1,63.9,55.0,1242,5.19,5.14,3.3
44546,0.56,Ideal,I,VVS1,60.8,57.0,1605,5.31,5.34,3.24
5319,0.9,Good,D,SI2,62.3,58.0,3806,6.05,6.27,3.84
36247,0.41,Ideal,E,VS2,62.4,54.0,935,4.76,4.79,2.98
49469,0.47,Ideal,F,VVS1,61.6,56.0,2113,5.0,5.02,3.09
36903,0.48,Premium,G,SI1,59.7,59.0,960,5.07,5.04,3.02
24689,1.05,Ideal,F,IF,61.7,56.0,13060,6.48,6.56,4.02
38813,0.31,Premium,G,VVS1,62.2,59.0,1046,4.32,4.3,2.68
28528,0.31,Very Good,F,VS1,60.6,55.0,675,4.41,4.43,2.67
24714,0.31,Very Good,G,VS1,61.9,54.0,640,4.36,4.4,2.71
53819,0.71,Premium,E,VS2,62.5,60.0,2735,5.7,5.66,3.55
51819,0.51,Premium,E,VVS2,59.3,59.0,2419,5.25,5.17,3.09
20112,1.25,Very Good,G,VS1,62.7,56.0,8580,6.81,6.93,4.31
38163,0.34,Ideal,E,VVS1,61.9,56.0,1014,4.47,4.51,2.78
2566,0.91,Good,J,VS1,64.2,60.0,3210,6.01,5.95,3.84
35785,0.32,Ideal,D,VS2,61.9,55.0,912,4.43,4.45,2.75
4782,1.21,Premium,J,VS2,59.0,60.0,3694,6.93,6.88,4.07
47074,0.52,Premium,D,VS2,61.2,58.0,1822,5.16,5.2,3.17
48496,0.56,Ideal,F,VS1,61.7,55.1,1981,5.29,5.33,3.27
7248,1.06,Very Good,I,SI1,62.7,56.0,4197,6.46,6.5,4.06
19881,1.5,Very Good,F,SI2,62.3,60.0,8431,7.29,7.34,4.56
29018,0.31,Ideal,G,VVS2,61.8,56.0,687,4.37,4.4,2.71
45586,0.52,Ideal,E,VS2,61.9,56.0,1689,5.12,5.16,3.18
29773,0.3,Ideal,I,VVS1,61.3,57.0,709,4.34,4.31,2.65
32269,0.3,Ideal,G,VVS1,61.3,56.0,789,4.3,4.34,2.65
39422,0.41,Ideal,F,VS1,61.8,56.0,1076,4.79,4.75,2.95
47650,0.23,Ideal,E,VVS2,62.5,57.0,530,3.92,3.99,2.47
48008,0.52,Ideal,D,VS2,62.3,56.0,1919,5.16,5.11,3.2
21592,1.63,Ideal,I,SI1,61.3,56.0,9694,7.64,7.56,4.66
18686,1.02,Premium,D,VS2,62.5,58.0,7643,6.4,6.37,3.99
27571,2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02
21141,1.39,Ideal,H,VVS2,61.2,54.0,9298,7.23,7.25,4.43
22916,1.73,Premium,I,SI1,61.2,60.0,10957,7.67,7.65,4.69
45214,0.51,Very Good,E,VS2,60.5,56.0,1656,5.18,5.24,3.15
49711,0.71,Premium,G,SI2,62.7,60.0,2147,5.69,5.63,3.55
39740,0.52,Premium,G,SI1,58.6,62.0,1092,5.28,5.24,3.08
31892,0.3,Ideal,G,VS1,61.7,57.0,776,4.32,4.3,2.66
9399,1.03,Premium,F,SI2,61.4,57.0,4586,6.6,6.53,4.03
24419,1.41,Premium,E,VS1,58.8,59.0,12671,7.3,7.26,4.28
18445,1.27,Premium,H,VS2,60.0,61.0,7503,7.03,6.99,4.26
49796,0.7,Ideal,F,SI2,60.1,57.0,2163,5.78,5.81,3.48
7932,0.9,Ideal,F,SI1,62.0,57.0,4318,6.21,6.25,3.86
40529,0.54,Ideal,H,SI1,62.5,56.0,1147,5.2,5.23,3.26
6628,0.8,Ideal,E,VS1,62.1,56.0,4086,5.92,5.97,3.69
22238,1.5,Premium,H,VS2,60.8,59.0,10291,7.34,7.36,4.47
28411,0.35,Premium,G,SI1,60.6,58.0,669,4.6,4.58,2.78
42234,0.4,Ideal,E,VS1,61.1,57.0,1291,4.75,4.78,2.97
14258,1.25,Very Good,H,SI2,62.8,55.0,5775,6.82,6.87,4.3
30382,0.34,Very Good,F,VS2,62.5,57.5,730,4.4,4.45,2.77
27691,0.41,Ideal,J,VS1,61.5,55.0,648,4.77,4.79,2.94
12107,1.01,Good,H,VS2,63.1,59.0,5166,6.3,6.34,3.99
16171,1.14,Very Good,D,SI1,62.7,59.0,6464,6.64,6.67,4.17
36732,0.32,Ideal,G,IF,60.5,57.0,954,4.42,4.44,2.68
50946,0.62,Ideal,G,VS2,61.6,55.0,2321,5.51,5.53,3.4
47695,0.5,Ideal,G,VVS1,61.9,58.0,1883,5.06,5.09,3.14
13639,1.31,Very Good,I,SI2,60.8,57.0,5582,7.06,7.12,4.31
12447,1.12,Very Good,D,SI2,59.3,59.0,5243,6.76,6.8,4.02
34188,0.33,Ideal,G,VS1,62.9,57.0,854,4.43,4.38,2.77
14705,0.3,Ideal,G,VS1,61.8,55.0,605,4.31,4.33,2.67
7428,0.72,Ideal,F,IF,62.0,57.0,4228,5.71,5.78,3.56
47044,0.5,Premium,D,VS2,59.7,57.0,1819,5.13,5.08,3.05
894,0.7,Premium,G,VVS2,62.9,59.0,2874,5.68,5.61,3.55
30719,0.35,Fair,E,VVS2,66.2,58.0,738,4.41,4.35,2.9
28688,0.36,Very Good,G,VS1,60.6,60.0,678,4.57,4.61,2.78
11436,1.0,Good,D,SI1,60.4,64.0,5005,6.3,6.39,3.83
23169,1.23,Ideal,G,VVS1,61.2,56.0,11182,6.94,6.9,4.23
6805,1.05,Ideal,J,VS1,62.8,57.0,4116,6.45,6.41,4.04
5430,0.91,Ideal,J,VVS2,60.2,57.0,3826,6.31,6.34,3.81
6237,0.75,Ideal,D,VS1,62.0,58.0,4007,5.77,5.84,3.6
29398,0.31,Premium,E,SI1,62.3,56.0,698,4.4,4.37,2.73
5426,1.03,Premium,G,SI2,63.0,60.0,3824,6.39,6.35,4.01
5368,0.79,Ideal,D,VS2,61.3,57.0,3818,5.95,6.0,3.66
6870,0.91,Premium,H,VS2,59.9,62.0,4128,6.33,6.26,3.77
40006,0.41,Ideal,F,VS2,62.7,57.0,1107,4.78,4.73,2.98
35589,0.4,Ideal,E,SI1,62.5,57.0,907,4.74,4.7,2.95
48585,0.54,Ideal,D,VS2,61.1,57.0,1993,5.29,5.19,3.2
12235,1.02,Very Good,D,SI1,63.2,58.0,5198,6.41,6.35,4.03
32124,0.4,Good,F,VS2,62.2,61.0,784,4.71,4.74,2.94
32272,0.3,Very Good,E,VVS2,60.8,60.0,789,4.27,4.31,2.61
39702,0.4,Ideal,H,VVS1,62.0,54.0,1088,4.76,4.72,2.94
6059,0.32,Premium,I,VS2,62.2,59.0,576,4.37,4.35,2.71
51548,0.51,Premium,D,VVS2,62.4,59.0,2387,5.13,5.06,3.18
34008,0.3,Premium,D,VS1,59.4,60.0,848,4.38,4.34,2.59
38327,0.32,Premium,E,VVS1,60.8,58.0,1020,4.41,4.38,2.67
22201,1.31,Ideal,F,VS2,59.6,60.0,10243,7.06,7.16,4.24
4788,1.0,Fair,E,SI1,66.5,55.0,3696,6.21,6.19,4.12
43342,0.51,Good,F,SI1,63.6,58.0,1406,5.08,5.05,3.22
46795,0.5,Good,G,VVS2,63.9,58.0,1806,5.05,5.0,3.21
40998,0.6,Ideal,I,SI2,61.9,55.0,1182,5.43,5.46,3.37
36773,0.34,Premium,F,VS1,60.4,58.0,956,4.53,4.51,2.73
46982,0.55,Ideal,G,VS1,61.0,56.0,1815,5.34,5.32,3.25
25118,1.55,Ideal,H,VS1,62.0,57.0,13665,7.37,7.43,4.59
46777,0.74,Premium,I,SI2,60.6,60.0,1803,5.89,5.8,3.54
44892,0.5,Ideal,E,VS2,62.5,57.0,1629,5.1,5.04,3.17
25810,1.8,Ideal,F,SI1,61.9,56.0,14814,7.78,7.87,4.84
29357,0.31,Premium,G,VS2,61.5,60.0,698,4.34,4.31,2.66
32857,0.4,Ideal,H,VS1,61.8,56.0,807,4.74,4.78,2.94
29089,0.34,Good,H,VS2,63.7,57.0,689,4.44,4.42,2.82
48337,0.63,Premium,F,VS2,58.2,61.0,1960,5.68,5.62,3.29
25753,1.53,Premium,G,VS1,62.6,60.0,14699,7.39,7.3,4.6
45012,0.54,Premium,H,VS1,61.3,58.0,1637,5.25,5.22,3.21
39920,0.41,Ideal,D,VVS2,62.5,57.0,1105,4.72,4.75,2.96
18702,0.36,Good,D,SI1,63.2,56.0,619,4.52,4.56,2.87
14250,1.02,Ideal,F,SI1,62.3,56.0,5773,6.41,6.44,4.0
45413,0.51,Ideal,G,VS1,60.4,59.0,1668,5.16,5.21,3.13
47354,0.5,Ideal,E,VS2,63.8,54.0,1845,5.07,5.05,3.23
38977,0.43,Ideal,E,VS2,61.6,54.0,1053,4.9,4.88,3.01
42079,0.57,Very Good,G,SI1,60.4,58.0,1273,5.37,5.42,3.26
2889,0.9,Good,H,SI1,66.1,57.0,3282,5.94,5.99,3.94
10146,1.0,Premium,H,SI1,62.7,58.0,4724,6.41,6.32,3.99
36391,0.31,Premium,D,VVS1,62.1,59.0,942,4.38,4.32,2.7
51122,0.82,Fair,G,SI1,66.4,54.0,2339,5.87,5.82,3.88
18716,0.27,Very Good,E,VVS1,61.5,58.0,620,4.16,4.23,2.58
4618,0.91,Very Good,I,VS2,61.0,57.0,3664,6.2,6.26,3.8
40923,0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69
45707,0.56,Ideal,H,VS1,62.8,56.0,1698,5.28,5.23,3.3
46,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
33960,0.41,Very Good,I,VVS1,63.5,58.0,845,4.7,4.75,3.0
40141,0.41,Very Good,E,VVS2,62.2,57.0,1116,4.76,4.79,2.97
39872,0.47,Premium,G,VS2,61.8,60.0,1102,4.98,4.95,3.07
6565,0.9,Ideal,G,SI2,60.6,55.0,4077,6.27,6.33,3.82
30678,0.4,Premium,E,SI1,60.1,59.0,737,4.76,4.82,2.88
26667,1.52,Ideal,G,VVS1,61.4,57.0,16492,7.4,7.38,4.54
46575,1.0,Fair,J,I1,65.0,59.0,1784,6.27,6.17,4.05
9698,0.32,Ideal,I,VVS1,62.4,55.0,589,4.34,4.38,2.72
14492,1.2,Very Good,H,VS1,63.1,57.0,5853,6.69,6.65,4.2
8123,1.02,Ideal,H,SI2,61.9,56.0,4353,6.47,6.51,4.02
4702,1.1,Ideal,F,I1,61.8,56.0,3678,6.61,6.65,4.1
926,0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54
1931,0.72,Very Good,E,SI2,61.0,59.0,3084,5.73,5.78,3.51
3704,1.0,Ideal,E,SI2,62.9,56.0,3450,6.32,6.3,3.97
14515,1.0,Good,G,VS1,64.2,61.0,5863,6.23,6.29,4.02
2725,0.36,Ideal,G,SI2,61.8,56.0,565,4.58,4.61,2.84
53385,0.7,Ideal,F,SI1,61.7,58.0,2662,5.67,5.7,3.51
26173,2.0,Very Good,I,VS2,59.5,62.0,15510,8.13,8.21,4.86
26867,2.03,Ideal,I,VS2,62.7,57.0,16792,8.02,8.05,5.04
3762,0.9,Premium,F,SI2,61.1,54.0,3457,6.29,6.27,3.84
46971,0.28,Premium,E,SI1,60.3,58.0,529,4.26,4.22,2.55
25742,1.51,Ideal,G,VS1,61.1,57.0,14674,7.41,7.38,4.52
11822,1.12,Good,H,SI1,59.8,61.0,5094,6.72,6.85,4.06
